gloss,l1,w1,cc1,l2,w2,cc2,feature1,feature2,feature3,feature4,feature5,feature6,lexstat_simAA,lexstat_simBB,lexstat_simAB,feature7,target,db
tongue,ACHANG,so,1,AKHA,mela,1,-6.71811910455,0.421161825726,0.864738135009,1.9624666502,0.674202177003,3.13333333333,14.5296953314,38.0487032986,0.0,0.0552070223707,1,lolo_burmese
tongue,ACHANG,so,1,BISU,manhla,1,-7.73643833023,0.558475689882,0.582544188937,2.34817883546,0.853640064083,3.13333333333,14.5296953314,51.2237828346,0.0,0.0552070223707,1,lolo_burmese
tongue,ACHANG,so,1,BIYUE,ala,1,-5.01238744834,0.253979238754,1.37050275249,2.60118591375,0.955967461708,3.13333333333,14.5296953314,26.6293652127,3.46967972063,0.0552070223707,1,lolo_burmese
tongue,ACHANG,so,1,BURMESE,hly~a,1,-1.83194709559,0.0847568988173,2.46796813406,2.67956672133,0.985655110308,3.13333333333,15.2227669377,41.6807290966,0.0,0.0552070223707,1,lolo_burmese
tongue,ACHANG,so,1,DAFANG,Lo,1,-3.66271783339,0.20830449827,1.5687543358,1.92466021952,0.654749442819,3.13333333333,14.5296953314,15.3350681558,0.0,0.0552070223707,1,lolo_burmese
tongue,ACHANG,so,1,JINO,a Lo,1,-6.15574575561,0.420094403237,0.86727582335,2.12520662317,0.753869032082,3.13333333333,14.5296953314,33.4713143761,0.0514723350735,0.0552070223707,1,lolo_burmese
tongue,ACHANG,so,1,LAHU,xate,1,-6.21205706854,0.413351314902,0.883457406202,2.19597662627,0.786626879816,3.13333333333,14.5296953314,40.7022702239,1.25331755167,0.0552070223707,1,lolo_burmese
tongue,ACHANG,so,1,LISU,laCh~3,1,-3.62689202179,0.20830449827,1.5687543358,1.90088981463,0.642322100033,3.13333333333,14.5296953314,44.5408830376,0.0,0.0552070223707,1,lolo_burmese
tongue,ACHANG,so,1,MPI,olo,1,-2.68000958496,0.13948787062,1.96977763046,2.35027863311,0.85453388841,3.13333333333,14.5296953314,22.6106078152,2.22261491074,0.0552070223707,1,lolo_burmese
tongue,ACHANG,so,1,NANJIANG,la,1,-2.51935952612,0.153784860558,1.87220066266,2.04119824914,0.713537012449,3.13333333333,14.5296953314,19.6778520058,0.0,0.0552070223707,1,lolo_burmese
tongue,ACHANG,so,1,NAXI,si,-2,0.65673732611,0.0373702422145,3.28688055398,1.97496664484,0.680551509524,3.13333333333,14.5296953314,15.6265550223,4.24964259799,0.0552070223707,0,lolo_burmese
tongue,ACHANG,so,1,NUSU,fra,1,-5.30525892928,0.316275764037,1.15114077495,2.4852404353,0.910369409516,3.13333333333,14.5296953314,29.8887539848,0.569422586642,0.0552070223707,1,lolo_burmese
tongue,ACHANG,so,1,XIDE,hane,1,-3.5376787518,0.201708278581,1.60093279083,2.00387363091,0.695082122807,3.13333333333,14.5296953314,40.7261443726,0.85670897132,0.0552070223707,1,lolo_burmese
tongue,ACHANG,so,1,ZAIWA,So,1,2.96439535577,0.0138408304498,4.28013232699,3.30062566918,1.19411204722,3.13333333333,14.5296953314,14.6768284958,11.0930977087,0.0552070223707,1,lolo_burmese
tongue,AKHA,mela,1,BISU,manhla,1,3.63231292956,0.0074173971679,4.90392706934,2.34063980463,0.85042431278,3.13333333333,37.6931377044,51.2237828346,17.6484405251,0.0552070223707,1,lolo_burmese
tongue,AKHA,mela,1,BIYUE,ala,1,2.20201111681,0.0106458481192,4.5425853108,2.6824855238,0.986743798977,3.13333333333,39.1261590644,26.6293652127,18.0920442711,0.0552070223707,1,lolo_burmese
tongue,AKHA,mela,1,BURMESE,hly~a,1,-2.75550919268,0.130815913688,2.03396418307,2.13251223884,0.757300739563,3.13333333333,38.0487032986,41.6807290966,0.0,0.0552070223707,1,lolo_burmese
tongue,AKHA,mela,1,DAFANG,Lo,1,-3.13910435877,0.184528034067,1.68995388088,2.10595926015,0.744771068865,3.13333333333,42.1398197083,15.3350681558,6.76492829142,0.0552070223707,1,lolo_burmese
tongue,AKHA,mela,1,JINO,a Lo,1,-2.30463921134,0.097510373444,2.32779651234,2.89408844062,1.06267018773,3.13333333333,41.815108634,33.4713143761,-2.35152710507,0.0552070223707,1,lolo_burmese
tongue,AKHA,mela,1,LAHU,xate,1,-7.65303884364,0.641078838174,0.444602837153,2.5748606598,0.945795419953,3.13333333333,38.0235177206,40.7022702239,3.3416776697,0.0552070223707,1,lolo_burmese
tongue,AKHA,mela,1,LISU,laCh~3,1,-2.83121360905,0.127040454223,2.06324970606,2.44404932438,0.893656222929,3.13333333333,38.5528543309,44.5408830376,6.02003592946,0.0552070223707,1,lolo_burmese
tongue,AKHA,mela,1,MPI,olo,1,-0.995126927153,0.0498269896194,2.99919848153,2.49811127703,0.915534957159,3.13333333333,45.3419768857,22.6106078152,9.20601399942,0.0552070223707,1,lolo_burmese
