gloss,l1,w1,cc1,l2,w2,cc2,feature1,feature2,feature3,feature4,feature5,feature6,lexstat_simAA,lexstat_simBB,lexstat_simAB,feature7,target,db
good,BAHNAR,liEm,1,CHRAU,yah,2,-9.16171474335,0.691540910979,0.368832966968,3.78356359009,1.33066631423,3.46666666667,40.4030735193,28.2890124526,0.0,0.222151072494,0,mon_khmer
good,BAHNAR,liEm,1,DEANG,mh~3m,9,-6.17758914389,0.412852224914,0.884665558975,1.83027865096,0.604468223546,3.46666666667,40.4030735193,47.8414179907,7.96261573253,0.222151072494,0,mon_khmer
good,BAHNAR,liEm,1,JEH,liam,1,8.65841835863,0.000129015610889,8.95557714628,3.92195726953,1.36659083264,3.46666666667,40.4030735193,34.1015153336,28.9312706682,0.222151072494,1,mon_khmer
good,BAHNAR,liEm,1,KHASI,babha,12,-11.7218426939,0.847881202463,0.165014744439,1.65607895174,0.504452731,3.46666666667,40.4030735193,47.2188602388,0.0,0.222151072494,0,mon_khmer
good,BAHNAR,liEm,1,KHMER,l37o,6,-4.12510607564,0.223445301861,1.49858862928,1.92218316293,0.653461604099,3.46666666667,40.4030735193,34.5454605386,6.18947848125,0.222151072494,0,mon_khmer
good,BAHNAR,liEm,1,KHMU,l3,10,-1.87876421044,0.103191489362,2.27116889676,1.97437911661,0.680253977593,3.46666666667,40.4030735193,18.6152071659,0.0,0.222151072494,0,mon_khmer
good,BAHNAR,liEm,1,KSINMUL,tuh,11,-11.7507756563,0.909932140654,0.0943852529618,1.84977294071,0.615062896806,3.46666666667,38.7157070032,29.4104341885,0.0,0.222151072494,0,mon_khmer
good,BAHNAR,liEm,1,MON,kh~uih,4,-12.7327359295,0.936468936469,0.0656389274624,1.95427741609,0.670020516976,3.46666666667,40.4030735193,52.2428604133,0.0,0.222151072494,0,mon_khmer
good,BAHNAR,liEm,1,MUNDARI,bugi,13,-7.01001534428,0.427825692238,0.84903942748,1.58252476519,0.459021524325,3.46666666667,40.4030735193,37.0295514153,0.0,0.222151072494,0,mon_khmer
good,BAHNAR,liEm,1,NYAKUR,hnap,5,-7.38984324026,0.497822099954,0.697512494787,2.19142224436,0.784550759689,3.46666666667,40.4030735193,37.8480741004,0.0,0.222151072494,0,mon_khmer
good,BAHNAR,liEm,1,RUC,yah,14,-9.16171474335,0.709831561343,0.342727574638,1.88607457389,0.634497724199,3.46666666667,39.3753572856,27.529140452,0.0,0.222151072494,0,mon_khmer
good,BAHNAR,liEm,1,SEMAI,bor,7,-9.06196974751,0.663560334528,0.410135495617,2.04327640414,0.714554599949,3.46666666667,40.4030735193,28.1490083541,0.0,0.222151072494,0,mon_khmer
good,BAHNAR,liEm,1,VIETNAMESE,tot,3,-12.7397341652,0.953932434237,0.047162433693,1.70053819754,0.530944787745,3.46666666667,40.4030735193,22.5215756803,0.0,0.222151072494,0,mon_khmer
good,BAHNAR,liEm,1,WA,mh~3m,8,-6.17758914389,0.407180081065,0.898499731776,1.92598931949,0.655439767927,3.46666666667,40.4030735193,44.7684425043,7.24624497755,0.222151072494,0,mon_khmer
good,CHRAU,yah,2,DEANG,mh~3m,9,-14.2263059751,0.980761245675,0.0194262275552,1.94333671196,0.664406450265,3.46666666667,27.0411023434,47.8414179907,0.0,0.222151072494,0,mon_khmer
good,CHRAU,yah,2,JEH,liam,1,-7.04819703072,0.463435135892,0.769088847907,3.08453813053,1.12640193157,3.46666666667,28.3359836271,34.1015153336,0.0,0.222151072494,0,mon_khmer
good,CHRAU,yah,2,KHASI,babha,12,-4.57214646885,0.212609778477,1.54829681941,1.79620699131,0.585677214525,3.46666666667,30.809275044,47.2188602388,2.54542225018,0.222151072494,0,mon_khmer
good,CHRAU,yah,2,KHMER,l37o,6,-2.89064437757,0.139056534056,1.97287470871,1.79651012587,0.585845963999,3.46666666667,29.2103657727,34.5454605386,0.0,0.222151072494,0,mon_khmer
good,CHRAU,yah,2,KHMU,l3,10,-4.06216857733,0.200025660765,1.60930961684,2.12119406258,0.751979167193,3.46666666667,30.1493739461,18.6152071659,0.0,0.222151072494,0,mon_khmer
good,CHRAU,yah,2,KSINMUL,tuh,11,-7.57759402125,0.541984732824,0.61251744616,2.13732110976,0.759553226985,3.46666666667,28.2890124526,29.4104341885,3.3563975517,0.222151072494,0,mon_khmer
good,CHRAU,yah,2,MON,kh~uih,4,-4.580188069,0.262890525781,1.33601758524,2.27396440927,0.821524744048,3.46666666667,26.3897676886,52.2428604133,4.58541243732,0.222151072494,0,mon_khmer
good,CHRAU,yah,2,MUNDARI,bugi,13,-10.0533032203,0.749230200764,0.288708998542,1.87704969525,0.629701233148,3.46666666667,32.9366485709,37.0295514153,0.0,0.222151072494,0,mon_khmer
